,time,instance_events_type,collection_id,scheduling_class,collection_type,priority,alloc_collection_id,instance_index,machine_id,resource_request
929,0,2,36376033673,3,1,200,0,1257,38770864156,
930,1.45807E+12,6,7.55687E+11,0,0,105,0,1754,27366391323,"{'cpus': 0.00662994384765625, 'memory': 0.0041961669921875}"
931,0,2,35039733202,3,0,200,35039731113,4372,34209427006,"{'cpus': 0.03082275390625, 'memory': 0.01275634765625}"
932,1.11176E+12,5,3.13663E+11,2,0,360,2.61561E+11,2153,3120818739,"{'cpus': 0.0208740234375, 'memory': 0.0013027191162109375}"
933,7.23623E+11,1,3.46556E+11,1,0,103,0,4681,9979709353,"{'cpus': 0.04119873046875, 'memory': 0.0104217529296875}"
934,6.4018E+11,3,3006288552,2,0,0,0,5114,11186267,"{'cpus': 0.002246856689453125, 'memory': 0.00029659271240234375}"
935,1.47446E+12,5,3.22067E+11,0,0,103,0,597,527527596,"{'cpus': 0.0294189453125, 'memory': 0.00247955322265625}"
936,2.35473E+12,6,3.68969E+11,0,0,118,0,4686,2727918558,"{'cpus': 0.01214599609375, 'memory': 0.00650787353515625}"
937,1.90016E+11,3,2.9995E+11,1,0,200,0,5999,10634875611,"{'cpus': 0.00566864013671875, 'memory': 0.00262451171875}"
938,1.09677E+11,2,2.1255E+11,1,0,117,0,13524,3302805608,"{'cpus': 0.0081024169921875, 'memory': 0.0014705657958984375}"
939,26096958845,0,2.6029E+11,2,0,360,2.21495E+11,738,4695663458,"{'cpus': 0.00310516357421875, 'memory': 0.0013027191162109375}"
940,1.71621E+12,6,2.87116E+11,1,1,101,0,436,399049437,"{'cpus': 0.0316162109375, 'memory': 0.003368377685546875}"
941,1.66953E+11,3,93247928673,3,0,200,0,385,50290101657,"{'cpus': 0.03521728515625, 'memory': 0.0106201171875}"
942,1.39614E+12,3,39516992187,2,0,0,0,1495,44493424971,"{'cpus': 0.0027313232421875, 'memory': 0.00020885467529296875}"
943,1.07732E+12,3,14423004927,2,0,0,0,1021,34738147084,"{'cpus': 0.00106048583984375, 'memory': 0.00019741058349609375}"
944,0,0,2.88497E+11,3,1,200,0,1030,1.83162E+11,"{'cpus': 0.0616455078125, 'memory': 0.020111083984375}"
945,2.25675E+12,2,3.4802E+11,1,0,200,0,5,3.75998E+11,"{'cpus': 0.0, 'memory': 0.0130157470703125}"
946,0,0,4741149103,2,0,200,0,9357,17908217801,"{'cpus': 0.00131988525390625, 'memory': 0.00036525726318359375}"
947,0,2,2.75444E+11,0,0,0,0,2899,85198260291,"{'cpus': 0.00566864013671875, 'memory': 0.00262451171875}"
948,2.29706E+12,6,4.9862E+11,0,1,116,0,243,34425441324,"{'cpus': 0.01629638671875, 'memory': 0.0088653564453125}"
949,1.3049E+12,0,2.84398E+11,1,0,117,0,2264,10452209493,"{'cpus': 0.0081024169921875, 'memory': 0.0014705657958984375}"
950,0,2,10507389885,3,0,200,0,663,7483120558,"{'cpus': 0.0704345703125, 'memory': 0.0416259765625}"
951,0,0,35039732574,1,0,200,35039731113,722,34210729879,"{'cpus': 0.0, 'memory': 0.00016498565673828125}"
952,2.05413E+12,3,7.64753E+11,0,0,0,0,269,27366793876,"{'cpus': 0.0081024169921875, 'memory': 0.00403594970703125}"
953,1.3556E+12,0,1.22697E+11,1,0,200,0,4788,2.68615E+11,"{'cpus': 0.013214111328125, 'memory': 0.00521087646484375}"
954,1.65036E+12,3,2.60726E+11,2,0,360,2.21495E+11,158,320166881,"{'cpus': 0.0111541748046875, 'memory': 0.0013027191162109375}"
955,34942726283,0,2.63409E+11,2,0,360,2.21495E+11,824,2.72349E+11,"{'cpus': 0.00249481201171875, 'memory': 0.0013027191162109375}"
956,2.12137E+12,0,1.57857E+11,1,0,103,0,1950,10367672982,"{'cpus': 0.030364990234375, 'memory': 0.1041259765625}"
957,1.45746E+12,6,7.55687E+11,0,0,105,0,3579,1.52886E+11,"{'cpus': 0.00662994384765625, 'memory': 0.00368499755859375}"
958,95950072173,3,3006288552,2,0,0,0,4897,10042948700,"{'cpus': 0.0018711090087890625, 'memory': 0.00025177001953125}"
959,1.68707E+12,0,7.93077E+11,1,0,200,0,14062,2.25571E+11,"{'cpus': 0.0005283355712890625, 'memory': 0.0094757080078125}"
960,7.27835E+11,2,3.115E+11,1,0,117,0,12345,24,"{'cpus': 0.0081024169921875, 'memory': 0.0014705657958984375}"
961,81247036839,5,3.59852E+11,2,0,360,3.30587E+11,1336,20146578421,"{'cpus': 0.010711669921875, 'memory': 0.0013027191162109375}"
962,5.95766E+11,3,25911627449,2,0,0,0,4057,28551362775,"{'cpus': 0.002048492431640625, 'memory': 0.00023555755615234375}"
963,6.83355E+11,3,7.95359E+11,0,0,0,0,2045,92524524299,"{'cpus': 0.0081024169921875, 'memory': 0.00182342529296875}"
964,2.40716E+11,5,2.21495E+11,2,0,360,2.21495E+11,1659,85518126,"{'cpus': 0.0177001953125, 'memory': 0.0013027191162109375}"
965,1.1642E+12,0,7.10255E+11,1,0,103,0,686,27359987597,"{'cpus': 0.0066070556640625, 'memory': 0.00521087646484375}"
966,1.78425E+12,2,4.95154E+11,0,0,103,0,2177,2501237537,"{'cpus': 0.017608642578125, 'memory': 0.0101776123046875}"
